school,year,games,wins,losses,ties,preseason_rank,postseason_rank,srs,sp_overall,sp_offense,sp_defense,first_name,last_name
Kansas State,1926,8,5,3,0,,,11.4,,,,Charlie,Bachman
Kansas State,1927,8,3,5,0,,,-6.2,,,,Charlie,Bachman
Florida,1928,9,8,1,0,,,15.5,,,,Charlie,Bachman
Florida,1929,10,8,2,0,,,4.1,,,,Charlie,Bachman
Florida,1930,10,6,3,1,,,12.9,,,,Charlie,Bachman
Florida,1931,10,2,6,2,,,-1.8,,,,Charlie,Bachman
Florida,1932,9,3,6,0,,,-1.9,,,,Charlie,Bachman
Michigan State,1933,8,4,2,2,,,6.6,,,,Charlie,Bachman
Michigan State,1934,9,8,1,0,,,6.7,,,,Charlie,Bachman
Michigan State,1935,8,6,2,0,,,26.4,,,,Charlie,Bachman
Michigan State,1936,9,6,1,2,,,14.2,,,,Charlie,Bachman
Michigan State,1937,10,8,2,0,,,7.1,,,,Charlie,Bachman
Michigan State,1938,9,6,3,0,,,7.1,,,,Charlie,Bachman
Michigan State,1939,9,4,4,1,,,3.8,,,,Charlie,Bachman
Michigan State,1940,8,3,4,1,,,11.5,,,,Charlie,Bachman
Michigan State,1941,9,5,3,1,,,9.3,,,,Charlie,Bachman
Michigan State,1942,9,4,3,2,,,1.8,,,,Charlie,Bachman
Michigan State,1944,7,6,1,0,,,5.3,,,,Charlie,Bachman
Michigan State,1945,9,5,3,1,,,6.7,,,,Charlie,Bachman
Michigan State,1946,10,5,5,0,,,3.4,,,,Charlie,Bachman
Texas A&M,1905,9,7,2,0,,,-0.2,,,,Walter,Bachman
Texas A&M,1906,7,6,1,0,,,-12,,,,Walter,Bachman
Stanford,1918,4,0,4,0,,,,,,,A.H.,Badenoch
Washington,1921,8,3,4,1,,,0.2,,,,Enoch,Bagshaw
Washington,1922,8,6,1,1,,,10.1,,,,Enoch,Bagshaw
Washington,1923,12,10,1,1,,,14,,,,Enoch,Bagshaw
Washington,1924,10,8,1,1,,,7,,,,Enoch,Bagshaw
Washington,1925,12,11,0,1,,,20,,,,Enoch,Bagshaw
Washington,1926,10,8,2,0,,,11.1,,,,Enoch,Bagshaw
Washington,1927,11,9,2,0,,,9.5,,,,Enoch,Bagshaw
Washington,1928,11,7,4,0,,,8.7,,,,Enoch,Bagshaw
Washington,1929,9,2,6,1,,,1.5,,,,Enoch,Bagshaw
Memphis,1986,11,1,10,0,,,-18.4,-24.9,9,33.2,Charlie,Bailey
Memphis,1987,11,5,5,1,,,1.2,-2.8,22,25,Charlie,Bailey
Memphis,1988,11,6,5,0,,,0.4,-3.2,23.7,27,Charlie,Bailey
UTEP,1993,5,0,5,0,,,-16.6,-19.6,25.4,41.2,Charlie,Bailey
UTEP,1994,11,3,7,1,,,-12,-14.1,27,37.7,Charlie,Bailey
UTEP,1995,12,2,10,0,,,-25.1,-26.1,27,45.9,Charlie,Bailey
UTEP,1996,11,2,9,0,,,-18.4,-23.9,16.2,37.3,Charlie,Bailey
UTEP,1997,11,4,7,0,,,-15.4,-17.7,17.5,34.2,Charlie,Bailey
UTEP,1998,11,3,8,0,,,-11.1,-11.3,24.7,34.2,Charlie,Bailey
UTEP,1999,12,5,7,0,,,-11.2,-9.5,31.5,38.6,Charlie,Bailey
Rice,2007,12,3,9,0,,,-17.4,-14.4,28.3,41.4,David,Bailiff
Rice,2008,13,10,3,0,,,1.6,4.8,40.5,35.1,David,Bailiff
Rice,2009,12,2,10,0,,,-22,-26,15,39.2,David,Bailiff
Rice,2010,12,4,8,0,,,-15.7,-16.6,23.6,40.6,David,Bailiff
Rice,2011,12,4,8,0,,,-11,-12,19.6,33.7,David,Bailiff
Rice,2012,13,7,6,0,,,-5.8,-7.6,25.6,34,David,Bailiff
Rice,2013,14,10,4,0,,,-2.1,-1.5,24,26.1,David,Bailiff
Rice,2014,13,8,5,0,,,-3.4,-3.1,27.9,29.8,David,Bailiff
Rice,2015,12,5,7,0,,,-18,-14.6,24,37.9,David,Bailiff
Rice,2016,12,3,9,0,,,-20.6,-16.5,22.8,38.6,David,Bailiff
Rice,2017,12,1,11,0,,,-24.4,-23.6,19.2,40.9,David,Bailiff
Furman,1973,11,7,4,0,,,-6.8,-2.5,19.3,22,Art,Baker
Furman,1974,11,5,6,0,,,-13.6,-17.2,6.3,21,Art,Baker
Furman,1975,11,5,5,1,,,-10.3,-10.6,15.1,25.4,Art,Baker
Furman,1976,11,6,4,1,,,3.1,10.2,21.8,11.8,Art,Baker
Furman,1977,11,4,5,2,,,-9.4,-17.2,16.4,33.1,Art,Baker
The Citadel,1978,11,5,6,0,,,-11,-11.1,18.7,28.9,Art,Baker
The Citadel,1979,11,6,5,0,,,-9.7,-11.7,23.4,33.5,Art,Baker
The Citadel,1980,11,7,4,0,,,0.4,7.4,28.6,22.4,Art,Baker
The Citadel,1981,11,7,3,1,,,-10.6,-2,19.9,22,Art,Baker
East Carolina,1985,11,2,9,0,,,-7.2,-12.1,18.6,29.7,Art,Baker
East Carolina,1986,11,2,9,0,,,-9.2,-10,25.2,33.9,Art,Baker
East Carolina,1987,11,5,6,0,,,-0.2,-0.9,32.1,33.3,Art,Baker
East Carolina,1988,11,3,8,0,,,-1.1,-1.2,32.4,33.9,Art,Baker
San José State,1997,11,4,7,0,,,-13.9,-16.7,26.7,40,Dave,Baldwin
San José State,1998,12,4,8,0,,,-11,-9.7,29.6,36.9,Dave,Baldwin
San José State,1999,10,3,7,0,,,-18.8,-18.1,34.2,45.9,Dave,Baldwin
San José State,2000,12,7,5,0,,,-2.8,-1.4,36.9,37.5,Dave,Baldwin
Lehigh,1922,9,3,5,1,,,3.1,,,,James,Baldwin
Lehigh,1923,9,6,2,1,,,11.5,,,,James,Baldwin
Wake Forest,1926,10,5,4,1,,,-5.6,,,,James,Baldwin
Wake Forest,1927,10,2,6,2,,,-18.3,,,,James,Baldwin
Louisiana,1999,11,2,9,0,,,-25,-33.3,18.3,44,Jerry,Baldwin
Louisiana,2000,11,1,10,0,,,-24.3,-29.1,17.2,41.9,Jerry,Baldwin
Louisiana,2001,11,3,8,0,,,-23.8,-29.1,22,44.4,Jerry,Baldwin
Purdue,1893,8,5,2,1,,,,,,,D.M.,Balliet
Purdue,1894,10,9,1,0,,,,,,,D.M.,Balliet
Purdue,1895,7,4,3,0,,,,,,,D.M.,Balliet
Purdue,1901,9,4,4,1,,,-12.8,,,,D.M.,Balliet
Iowa State,1986,2,1,1,0,,,-3.8,-3.4,24.5,27.8,Chuck,Banker
Texas A&M,2017,1,0,1,0,,,5.4,9.4,33.1,25.2,Jeff,Banks
Drake,1918,5,3,2,0,,,,,,,Mark,Banks
Drake,1919,7,4,3,0,,,5.1,,,,Mark,Banks
Drake,1920,10,4,5,1,,,-7,,,,Mark,Banks
Tennessee,1921,9,6,2,1,,,-1.8,,,,Mark,Banks
Tennessee,1922,10,8,2,0,,,3.3,,,,Mark,Banks
Tennessee,1923,10,5,4,1,,,-13.4,,,,Mark,Banks
Tennessee,1924,8,3,5,0,,,-14.7,,,,Mark,Banks
Tennessee,1925,8,5,2,1,,,-4.9,,,,Mark,Banks
Northwestern,1898,14,9,4,1,,,-9.2,,,,W.H.,Bannard
Michigan,1892,12,7,5,0,,,,,,,Frank,Barbour
Michigan,1893,10,7,3,0,,,,,,,Frank,Barbour
Lafayette,1908,10,6,2,2,,,8.3,,,,George,Barclay
Washington & Lee,1949,9,3,5,1,,,-6.1,,,,George,Barclay
Washington & Lee,1950,11,8,3,0,,18,5.1,,,,George,Barclay
Washington & Lee,1951,10,6,4,0,,,10.1,,,,George,Barclay
North Carolina,1953,10,4,6,0,,,0,,,,George,Barclay
North Carolina,1954,10,4,5,1,,,-3,,,,George,Barclay
North Carolina,1955,10,3,7,0,,,-2.2,,,,George,Barclay
Auburn,1976,11,3,8,0,,,3.1,3.9,27,24.1,Doug,Barfield
Auburn,1977,11,5,6,0,,,6.4,7.1,27.6,21.6,Doug,Barfield
Auburn,1978,11,6,4,1,,,9.1,5.4,25.9,21.1,Doug,Barfield
Auburn,1979,11,8,3,0,,16,13.7,14.2,38.1,25.5,Doug,Barfield
Auburn,1980,11,5,6,0,19,,8.7,6.8,29,23.4,Doug,Barfield
New Mexico,2011,8,1,7,0,,,-26.3,-27.9,16.9,41.9,George,Barlow
Georgia,1904,6,1,5,0,,,-15,,,,Charles,Barnard
UCLA,1958,7,2,4,1,,,2.9,,,,Bill,Barnes
UCLA,1959,10,5,4,1,,,8.7,,,,Bill,Barnes
UCLA,1960,10,7,2,1,,,13.2,,,,Bill,Barnes
UCLA,1961,11,7,4,0,,16,8.4,,,,Bill,Barnes
UCLA,1962,10,4,6,0,,,3.4,,,,Bill,Barnes
UCLA,1963,10,2,8,0,,,-0.5,,,,Bill,Barnes
UCLA,1964,10,4,6,0,,,4.6,,,,Bill,Barnes
New Mexico,1942,11,4,5,2,,,-17.5,,,,Willis,Barnes
New Mexico,1944,8,1,7,0,,,-21,,,,Willis,Barnes
New Mexico,1945,8,6,1,1,,,-3.1,,,,Willis,Barnes
New Mexico,1946,12,5,5,2,,,-23.5,,,,Willis,Barnes
Northwestern,1992,11,3,8,0,,,-8.2,-6.3,27.6,33.4,Gary,Barnett
Northwestern,1993,11,2,9,0,,,-4.9,-6.7,25.9,32.3,Gary,Barnett
Northwestern,1994,11,3,7,1,,,-1.1,-1.4,30.5,32.3,Gary,Barnett
Northwestern,1995,12,10,2,0,,8,20.7,24.7,36.2,12,Gary,Barnett
Northwestern,1996,12,9,3,0,18,15,7.9,8.2,34.6,28.2,Gary,Barnett
Northwestern,1997,12,5,7,0,,,1.5,3.1,28.1,26.1,Gary,Barnett
Northwestern,1998,12,3,9,0,,,-6.8,-9,24.2,32.3,Gary,Barnett
Colorado,1999,12,7,5,0,15,,8.6,11.3,40.7,32.4,Gary,Barnett
Colorado,2000,11,3,8,0,24,,5.4,10.1,34,25.6,Gary,Barnett
Colorado,2001,13,10,3,0,,9,13.2,20.2,42.6,25.4,Gary,Barnett
Colorado,2002,14,9,5,0,7,20,12.7,19.8,40,22.5,Gary,Barnett
Colorado,2003,12,5,7,0,,,-0.1,2.6,37.7,35.3,Gary,Barnett
Colorado,2004,13,8,5,0,,,3.9,7.8,32.9,27,Gary,Barnett
Colorado,2005,12,7,5,0,,,5.8,11.7,27.8,16.1,Gary,Barnett
Tennessee,1941,10,8,2,0,,18,14.3,,,,John,Barnhill
Tennessee,1942,11,9,1,1,,7,22.7,,,,John,Barnhill
Tennessee,1944,9,7,1,1,,12,8.6,,,,John,Barnhill
Tennessee,1945,9,8,1,0,,14,23.8,,,,John,Barnhill
Arkansas,1946,11,6,3,2,,16,14.3,,,,John,Barnhill
Arkansas,1947,11,6,4,1,,,14.1,,,,John,Barnhill
Arkansas,1948,10,5,5,0,,,10.2,,,,John,Barnhill
Arkansas,1949,10,5,5,0,,,8.2,,,,John,Barnhill
USC,1941,9,2,6,1,,,3.2,,,,Sam,Barry
Wisconsin,1908,6,5,1,0,,,18.9,,,,Tom,Barry
Wisconsin,1909,5,3,1,1,,,-0.4,,,,Tom,Barry
Wisconsin,1910,5,1,2,2,,,6,,,,Tom,Barry
Vanderbilt,1945,9,3,6,0,,,-5.9,,,,Doby,Bartling
UTEP,1974,11,4,7,0,,,-9.4,-13.5,24.7,35.4,Gil,Bartosh
UTEP,1975,11,1,10,0,,,-14.2,-16.1,15,30.9,Gil,Bartosh
UTEP,1976,12,1,11,0,,,-19.3,-23.5,15.6,36.7,Gil,Bartosh
William & Mary,1951,10,7,3,0,,,-5,,,,Marvin,Bass
South Carolina,1961,10,4,6,0,,,0.8,,,,Marvin,Bass
South Carolina,1962,10,4,5,1,,,8.2,,,,Marvin,Bass
South Carolina,1963,10,1,8,1,,,-5.4,,,,Marvin,Bass
South Carolina,1964,10,3,5,2,,,-2.6,,,,Marvin,Bass
South Carolina,1965,10,5,5,0,,,3.7,,,,Marvin,Bass
Rutgers,1960,9,8,1,0,,,0.9,,,,John,Bateman
Rutgers,1961,9,9,0,0,,15,-5.6,,,,John,Bateman
Rutgers,1962,10,5,5,0,,,-26.3,,,,John,Bateman
Rutgers,1963,9,3,6,0,,,-20.5,,,,John,Bateman
Rutgers,1964,9,6,3,0,,,-14.6,,,,John,Bateman
Rutgers,1965,9,3,6,0,,,-20.8,,,,John,Bateman
Rutgers,1966,9,5,4,0,,,-15.9,,,,John,Bateman
Rutgers,1967,9,4,5,0,,,-22.3,,,,John,Bateman
Rutgers,1968,10,8,2,0,,,-9,,,,John,Bateman
Rutgers,1969,9,6,3,0,,,-1.6,,,,John,Bateman
Rutgers,1970,10,5,5,0,,,-27.1,-20.2,18.9,37.2,John,Bateman
Rutgers,1971,11,4,7,0,,,-15.5,-0.4,25.2,25.7,John,Bateman
Rutgers,1972,11,7,4,0,,,-7.5,-4.5,21.9,26.3,John,Bateman
Auburn,1903,7,4,3,0,,,-31.2,,,,Billy,Bates
Miami (OH),2013,7,0,7,0,,,-30.2,-29,10.2,38.8,Mike,Bath
Tennessee,1970,12,11,1,0,,4,28.3,30.1,39.2,9,Bill,Battle
Tennessee,1971,12,10,2,0,8,9,17.9,18.1,27.8,10.8,Bill,Battle
Tennessee,1972,12,10,2,0,15,8,24.7,25.2,31.5,6.9,Bill,Battle
Tennessee,1973,12,8,4,0,9,19,9.9,7.5,30.3,24.5,Bill,Battle
Tennessee,1974,12,7,3,2,16,20,13.3,19.5,28.7,10.1,Bill,Battle
Tennessee,1975,12,7,5,0,18,,9.3,10.5,27.1,17.5,Bill,Battle
Tennessee,1976,11,6,5,0,,,11.3,5.4,24,19.4,Bill,Battle
Syracuse,1947,9,3,6,0,,,-13.5,,,,Reaves,Baysinger
Syracuse,1948,9,1,8,0,,,-15.5,,,,Reaves,Baysinger
Cornell,1896,9,5,3,1,,,,,,,Joseph,Beacham
Army,1911,8,6,1,1,,,16.1,,,,Joseph,Beacham
Baylor,1969,10,0,10,0,,,-10.3,,,,Bill,Beall
Baylor,1970,11,2,9,0,,,0.7,-7.6,17.7,25,Bill,Beall
Baylor,1971,10,1,9,0,,,-12.7,-23.8,6.5,29.7,Bill,Beall
Virginia Tech,1987,11,2,9,0,,,-0.5,-2.8,26.7,29.5,Frank,Beamer
Virginia Tech,1988,11,3,8,0,,,-3,-3.2,23.3,26.4,Frank,Beamer
Virginia Tech,1989,11,6,4,1,,,5.4,10.1,25.4,15.9,Frank,Beamer
Virginia Tech,1990,11,6,5,0,,,8.4,13.1,32,19.6,Frank,Beamer
Virginia Tech,1991,11,5,6,0,,,3.9,7.5,30.4,24.7,Frank,Beamer
Virginia Tech,1992,11,2,8,1,,,-0.1,-0.9,29.3,30.2,Frank,Beamer
Virginia Tech,1993,12,9,3,0,,22,9.5,16.3,42.7,29.8,Frank,Beamer
Virginia Tech,1994,12,8,4,0,22,,8.1,12.4,34.6,23.7,Frank,Beamer
Virginia Tech,1995,12,10,2,0,24,10,15.8,18.3,34.2,17.4,Frank,Beamer
Virginia Tech,1996,12,10,2,0,16,13,14.5,19.7,38.2,20,Frank,Beamer
Virginia Tech,1997,12,7,5,0,,,1.9,4.4,29.6,26.7,Frank,Beamer
Virginia Tech,1998,12,9,3,0,,23,18.6,19.2,35.4,17.7,Frank,Beamer
Virginia Tech,1999,12,11,1,0,13,2,24.5,28.2,45,19.4,Frank,Beamer
Virginia Tech,2000,12,11,1,0,11,6,20.9,28.2,49.8,25.2,Frank,Beamer
Virginia Tech,2001,12,8,4,0,9,18,16.9,19.2,36.2,19,Frank,Beamer
Virginia Tech,2002,14,10,4,0,16,18,12,16.8,37.7,22.5,Frank,Beamer
Virginia Tech,2003,13,8,5,0,9,,12.2,16,42.6,30,Frank,Beamer
Virginia Tech,2004,13,10,3,0,,10,17.4,19.9,35.4,16.9,Frank,Beamer
Virginia Tech,2005,13,11,2,0,8,7,22,25.5,35.6,10.1,Frank,Beamer
Virginia Tech,2006,13,10,3,0,17,19,13.8,21,23.6,4.6,Frank,Beamer
Virginia Tech,2007,14,11,3,0,9,9,15.1,19.3,27.5,10.4,Frank,Beamer
Virginia Tech,2008,14,10,4,0,17,15,7.8,8.1,20.6,13.1,Frank,Beamer
Virginia Tech,2009,13,10,3,0,7,10,23.1,27.8,36.6,11.1,Frank,Beamer
Virginia Tech,2010,14,11,3,0,10,16,19.2,21.2,39.6,20,Frank,Beamer
Virginia Tech,2011,14,11,3,0,13,21,7.7,15.4,33.5,17.3,Frank,Beamer
Virginia Tech,2012,13,7,6,0,16,,2.8,12.7,27.8,14.8,Frank,Beamer
Virginia Tech,2013,13,8,5,0,,,6.5,14.9,26,9.6,Frank,Beamer
Virginia Tech,2014,13,7,6,0,,,6.9,7.8,25.7,17.2,Frank,Beamer
Virginia Tech,2015,13,7,6,0,,,6.9,11.4,30.8,19.7,Frank,Beamer
Nebraska,1925,8,4,2,2,,,16.9,,,,Ernest,Bearg
Nebraska,1926,8,6,2,0,,,12.4,,,,Ernest,Bearg
Nebraska,1927,8,6,2,0,,,14.2,,,,Ernest,Bearg
Nebraska,1928,9,7,1,1,,,7.9,,,,Ernest,Bearg
Washburn,1935,10,4,6,0,,,-9.4,,,,Ernest,Bearg
Kansas,2015,12,0,12,0,,,-18.8,-21.3,20.2,40.6,David,Beaty
Kansas,2016,12,2,10,0,,,-15.7,-15.9,21,36,David,Beaty
Kansas,2017,12,1,11,0,,,-17.4,-14.8,21.6,36.7,David,Beaty
Kansas,2018,12,3,9,0,,,-1.2,-10,21.9,31.9,David,Beaty
Toledo,2009,12,5,7,0,,,-15,-7.4,27.8,34.8,Tim,Beckman
Toledo,2010,13,8,5,0,,,-6.8,-5.5,23.9,27.1,Tim,Beckman
Illinois,2012,12,2,10,0,,,-16.5,-9.8,21.2,32.1,Tim,Beckman
Illinois,2013,12,4,8,0,,,-3.4,-4,34.2,36.8,Tim,Beckman
Illinois,2014,13,6,7,0,,,-4,0.4,28.3,27.9,Tim,Beckman
Penn State,1949,9,5,4,0,,,4.9,,,,Joe,Bedenk
Louisiana Tech,1979,10,1,9,0,,,-13.6,-14.1,11,24,Larry,Beightol
TCU,1923,9,4,5,0,,,-3,,,,Madison,Bell
TCU,1924,9,4,5,0,,,-7,,,,Madison,Bell
TCU,1925,9,7,1,1,,,-7.1,,,,Madison,Bell
TCU,1926,9,6,1,2,,,7.3,,,,Madison,Bell
TCU,1927,9,4,3,2,,,14,,,,Madison,Bell
TCU,1928,10,8,2,0,,,5.4,,,,Madison,Bell
Texas A&M,1929,9,5,4,0,,,18.7,,,,Madison,Bell
Texas A&M,1930,9,2,7,0,,,0.1,,,,Madison,Bell
Texas A&M,1931,10,7,3,0,,,10,,,,Madison,Bell
Texas A&M,1932,10,4,4,2,,,2.4,,,,Madison,Bell
Texas A&M,1933,10,6,3,1,,,7,,,,Madison,Bell
SMU,1935,13,12,1,0,,,27.2,,,,Madison,Bell
SMU,1936,10,5,4,1,,,10.2,,,,Madison,Bell
SMU,1937,11,5,6,0,,,7.7,,,,Madison,Bell
SMU,1938,10,6,4,0,,,2.5,,,,Madison,Bell
SMU,1939,10,6,3,1,,,13,,,,Madison,Bell
SMU,1940,10,8,1,1,,16,15.4,,,,Madison,Bell
SMU,1941,10,5,5,0,,,11.2,,,,Madison,Bell
SMU,1945,11,5,6,0,,,9.5,,,,Madison,Bell
SMU,1946,10,4,5,1,,,7.9,,,,Madison,Bell
SMU,1947,11,9,0,2,,3,21.9,,,,Madison,Bell
SMU,1948,11,9,1,1,,10,22.6,,,,Madison,Bell
SMU,1949,10,5,4,1,,,15.1,,,,Madison,Bell
South Carolina,1982,11,4,7,0,,,0.8,0.4,26.6,26.4,Richard,Bell
UMass,2019,12,1,11,0,,,-40.6,-34.6,15.3,49.3,Walt,Bell
UMass,2020,0,0,0,0,,,-26.2,-31.3,16.7,47.8,Walt,Bell
Texas A&M,1972,11,3,8,0,,,3.7,3.7,23.7,20.6,Emory,Bellard
Texas A&M,1973,11,5,6,0,,,10.2,8.9,32.6,25.6,Emory,Bellard
Texas A&M,1974,11,8,3,0,20,16,15.8,14.9,25.9,11.4,Emory,Bellard
Texas A&M,1975,12,10,2,0,9,11,20,19.1,28.1,10.3,Emory,Bellard
Texas A&M,1976,12,10,2,0,14,7,21.5,20.8,35.2,15.1,Emory,Bellard
Texas A&M,1977,12,8,4,0,9,,12.3,11.8,38.7,28.5,Emory,Bellard
Texas A&M,1978,6,4,2,0,16,19,14.7,8.2,27.5,19.9,Emory,Bellard
Mississippi State,1979,11,3,8,0,,,5.1,7.3,21.1,15,Emory,Bellard
Mississippi State,1980,12,9,3,0,,19,11.6,14.7,34.4,20.9,Emory,Bellard
Mississippi State,1981,12,8,4,0,14,,12,13.1,23.4,10.8,Emory,Bellard
Mississippi State,1982,11,5,6,0,,,9.2,9.8,32,23.5,Emory,Bellard
Mississippi State,1983,11,3,8,0,,,3.6,5.1,28.5,24.3,Emory,Bellard
Mississippi State,1984,11,4,7,0,,,2.8,-1.6,22.7,24.3,Emory,Bellard
Mississippi State,1985,11,5,6,0,,,3.1,2.1,32,30.9,Emory,Bellard
Oregon,1995,12,9,3,0,,18,6.1,8.8,34,27.1,Mike,Bellotti
Oregon,1996,11,6,5,0,,,7.3,10.5,44.2,36.2,Mike,Bellotti
Oregon,1997,12,7,5,0,,,9.6,15.3,43.1,31.2,Mike,Bellotti
Oregon,1998,12,8,4,0,,,13.4,16.8,46.3,33.9,Mike,Bellotti
Oregon,1999,12,9,3,0,,19,8.1,12.4,40.3,30.5,Mike,Bellotti
Oregon,2000,12,10,2,0,,7,14.1,16.1,37.7,23.3,Mike,Bellotti
Oregon,2001,12,11,1,0,7,2,16.3,21,42.7,24.5,Mike,Bellotti
Oregon,2002,13,7,6,0,15,,5.9,5.3,39.4,35.3,Mike,Bellotti
Oregon,2003,13,8,5,0,,,4.5,7.9,36.2,30.2,Mike,Bellotti
Oregon,2004,11,5,6,0,23,,6.4,3.7,32.6,30.4,Mike,Bellotti
Oregon,2005,12,10,2,0,,12,16.8,18.1,35,16.9,Mike,Bellotti
Oregon,2006,13,7,6,0,21,,7.8,11.2,33.3,21.5,Mike,Bellotti
Oregon,2007,13,9,4,0,,23,20.8,23.1,41.2,19.7,Mike,Bellotti
Oregon,2008,13,10,3,0,21,10,15.6,19.6,38.4,18.3,Mike,Bellotti
Haskell,1908,9,3,5,1,,,-11.7,,,,John,Bender
Haskell,1909,9,7,2,0,,,6.5,,,,John,Bender
Kansas State,1915,8,3,4,1,,,-10.3,,,,John,Bender
Tennessee,1916,9,8,0,1,,,-5.1,,,,John,Bender
Tennessee,1919,9,3,3,3,,,-11.7,,,,John,Bender
Tennessee,1920,9,7,2,0,,,-3.5,,,,John,Bender
Tulsa,1939,10,4,5,1,,,-7.8,,,,Chet,Benefiel
Tulsa,1940,10,7,3,0,,,4.1,,,,Chet,Benefiel
South Carolina,1909,8,2,6,0,,,-25.1,,,,Christie,Benet
SMU,2002,12,3,9,0,,,-22,-24.8,18,39.5,Phil,Bennett
SMU,2003,12,0,12,0,,,-24.1,-27.8,12.8,37.7,Phil,Bennett
SMU,2004,11,3,8,0,,,-17.7,-16.2,27.5,40.3,Phil,Bennett
SMU,2005,11,5,6,0,,,-8.1,-13,16,29,Phil,Bennett
SMU,2006,12,6,6,0,,,-7.8,-7.7,20.9,30.3,Phil,Bennett
SMU,2007,12,1,11,0,,,-17,-13.4,28.9,43.2,Phil,Bennett
Pittsburgh,2010,1,1,0,0,15,,8.4,11.3,29.7,18.7,Phil,Bennett
Utah,1910,6,4,2,0,,,-8.4,,,,Fred,Bennion
Utah,1911,7,5,1,1,,,-4.5,,,,Fred,Bennion
Utah,1912,7,5,1,1,,,19.6,,,,Fred,Bennion
Utah,1913,7,2,4,1,,,-21.8,,,,Fred,Bennion
Pennsylvania,1981,10,1,9,0,,,-29,-22.2,16.3,36.3,Jerry,Berndt
Rice,1986,11,4,7,0,,,-12.9,-14.5,23.6,35.3,Jerry,Berndt
Rice,1987,11,2,9,0,,,-13.9,-16.3,29.2,41.8,Jerry,Berndt
Rice,1988,11,0,11,0,,,-8.8,-10.6,24.4,33.6,Jerry,Berndt
Temple,1989,11,1,10,0,,,-16.6,-16.8,21.6,36.3,Jerry,Berndt
Temple,1990,11,7,4,0,,,-0.5,0,30.5,31.2,Jerry,Berndt
Temple,1991,11,2,9,0,,,-15.2,-16.7,15.7,31.9,Jerry,Berndt
Temple,1992,11,1,10,0,,,-22.1,-23.5,18.3,38.9,Jerry,Berndt
Virginia Tech,1917,9,6,2,1,,,7.2,,,,Charles,Bernier
Virginia Tech,1918,7,7,0,0,,,,,,,Charles,Bernier
Virginia Tech,1919,9,5,4,0,,,0.2,,,,Charles,Bernier
Hampden-Sydney,1925,9,3,5,1,,,-21.2,,,,Charles,Bernier
Hampden-Sydney,1938,8,2,6,0,,,-26.6,,,,Charles,Bernier
Navy,1908,12,9,2,1,,,19.1,,,,Frank,Berrien
Navy,1909,8,4,3,1,,,7.1,,,,Frank,Berrien
Navy,1910,9,8,0,1,,,15.1,,,,Frank,Berrien
Tulane,1904,7,5,2,0,,,-12.2,,,,T.,Berry
Army,2000,11,1,10,0,,,-15.9,-17.3,25.4,39.7,Todd,Berry
Army,2001,11,3,8,0,,,-16.7,-22.8,22.7,41.4,Todd,Berry
Army,2002,12,1,11,0,,,-27.1,-29.2,23.8,45.9,Todd,Berry
Army,2003,6,0,6,0,,,-24.5,-28.2,18.8,42.4,Todd,Berry
Louisiana Monroe,2010,12,5,7,0,,,-14.5,-24.1,13.2,36.4,Todd,Berry
Louisiana Monroe,2011,12,4,8,0,,,-9,-15.7,17.4,30.2,Todd,Berry
Louisiana Monroe,2012,13,8,5,0,,,-1.8,-12,26.6,37.1,Todd,Berry
Louisiana Monroe,2013,12,6,6,0,,,-13.1,-26.2,13.4,38.1,Todd,Berry
Louisiana Monroe,2014,12,4,8,0,,,-12.6,-10,18.4,28.8,Todd,Berry
Louisiana Monroe,2015,12,2,11,0,,,-25,-14.7,18.4,32.9,Todd,Berry
Purdue,1902,10,7,2,1,,,3.7,,,,Charles,Best
Virginia,1976,11,2,9,0,,,-9.1,-16.8,11,27.8,Dick,Bestwick
Virginia,1977,11,1,9,1,,,-8.4,-13.5,11.6,23.8,Dick,Bestwick
Virginia,1978,11,2,9,0,,,-8.6,-16.4,12,28.3,Dick,Bestwick
Virginia,1979,11,6,5,0,,,9.5,10.1,23.2,13.9,Dick,Bestwick
Virginia,1980,11,4,7,0,,,-1.9,-2.9,20.4,23.4,Dick,Bestwick
Virginia,1981,11,1,10,0,,,-4.8,-9.6,16.6,25.6,Dick,Bestwick
Arkansas,1908,9,5,4,0,,,-17.5,,,,Hugo,Bezdek
Arkansas,1909,7,7,0,0,,,17,,,,Hugo,Bezdek
Arkansas,1910,8,7,1,0,,,15.1,,,,Hugo,Bezdek
Arkansas,1911,9,6,2,1,,,1.3,,,,Hugo,Bezdek
Arkansas,1912,10,4,6,0,,,-5.3,,,,Hugo,Bezdek
Oregon,1916,8,7,0,1,,,22.1,,,,Hugo,Bezdek
Oregon,1917,7,4,3,0,,,-15.5,,,,Hugo,Bezdek
Penn State,1918,4,1,2,1,,,,,,,Hugo,Bezdek
Penn State,1919,8,7,1,0,,,28.2,,,,Hugo,Bezdek
Penn State,1920,9,7,0,2,,,24.8,,,,Hugo,Bezdek
Penn State,1921,10,8,0,2,,,24,,,,Hugo,Bezdek
Penn State,1922,11,6,4,1,,,14.1,,,,Hugo,Bezdek
Penn State,1923,9,6,2,1,,,12.1,,,,Hugo,Bezdek
Penn State,1924,10,6,3,1,,,9.9,,,,Hugo,Bezdek
Penn State,1925,9,4,4,1,,,8.7,,,,Hugo,Bezdek
Penn State,1926,9,5,4,0,,,0.7,,,,Hugo,Bezdek
